Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Price_Hashed,Price_Encripted,RAM_Size_Encrypted
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,e33562234b73b4ecad16901885fd503f2c4c20996e22d914da21be26f8b6a6d9,gAAAAABoF5NHN7ke157FdJre9nt2zuawAoHekFqQiembPCV3HAd6cYofFywEcbr-h7Y1NUfD8SAwmEnoWYkf4FkxKYOXagqc-XWy6y2jqSwnDZ4R-C0TxLA=,gAAAAABoF5NHSHOv-lNjHgGpeLVNEyCdNhHi7kdTYozj6wrsh4IPJ61FC4UdAp3IG2WNJdAzJxot_ioOWm5ePgy1D68OHDdtOg==
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,80fe437d4a9c57c4038198b7cf32f93b9f957bb705b8e10a7d481662d5c79829,gAAAAABoF5NHf2aReai-8w8ZL0QmHHrRnHpL-xADRkq3T_JQAY_dx59KSRZVjkZtOK8ef_SQtrE-Eymu-GrhuTja-P42vj1R6dEZl8qXyZ2pjPPImHDmebA=,gAAAAABoF5NHC6IxG4dUCwyvrt1QLV5fnqlG-csXfMHFFjZMav7JtQWsGX508Qfl76tW0vLZUbR1teXodJXZI9Z3kOzXdQUGng==
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,6254a5a18d60d796eb464283ef38f9417e12885a07742e2e9b9d09e24b6f772b,gAAAAABoF5NHFXEnChDE3lquYDvWeBU7ooxaPPMp9QxtnUA8hrEIsMqzn1eMGlE0wuMQa2SBZt2YrmiTI7tZmAcG6HPu6pza3M-Re9NqD-kSmGLfK5p21PE=,gAAAAABoF5NHUq5s2z8R6O9cGCMgBew1VC-3GjxuJC3-Ytr5iQGkIIT-59zN92g1H_E8pVABQdYR7VfNlAQKMGUozU2V_H7ywA==
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527,1f2910923c33a53b30bc7e6eb731307eb2e2366b3811b68769aaeafb80458375,gAAAAABoF5NHbeaIdDyuRA4XpNgaqPInM6gWfZfHSbHuYBp353zxZY5y-46XWA_pmTMWeX1K1M3Ah5OL-9fZnJcrqBLau9zYtYghGQdpFyJ7JBYA07QRRlo=,gAAAAABoF5NHi7oKW9qAiZBkMbrC6x-nRIAJuoWsQoetQr80SjcY0Yqs5Zz_QRyeeTiWRC0MNA1ffojfft5jDqRqPKYkcGfSvA==
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515,f90738a55c90c1e31a4fb6d35f92306ff03a87001a9408b5a82a9083bcc18417,gAAAAABoF5NHzBJunzswly3D-qwz5nE6ICrRVqpsEr2UYOmsthgy_KRVg0J1yAJPW6j5reXoj-xQLajW1BWdHkrRB68vJKDeSIjNjuPv8ZhPtD0VpJpK3v4=,gAAAAABoF5NHBScVwf7we-TLTRDHNgZCK8TXe8RbAHGC3gH2swXOLLLA55DfOaTzexnCjD4CS4xH6CJyVhgZ8h7pAHdhf-7HDg==
HP,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945,152ff98902e83cca39225afe41781193058d58e2821954fd6dc48939e53a6335,gAAAAABoF5NHYMtrD1SeMlZKauKuUejP6Z4U_dagCs9m4jVGF3l14FwmjcGYdNFMK575Xh-OjzcwmpY-LG71g-DKOM4DmCE-8-j_oN_1UK5Gwq-StCMO2f8=,gAAAAABoF5NHtkyIeMeoPqSCF5i2wJEBLkrG7mht6zfEs7IJDjSYetsFXfwQCWoIxAg1J-ECmh_kSJzH43eWP3l5cichVyxSMA==
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554,90d3e3d05c2cf26f052a507df2d7af7733f4784154877c484f593724ba56eb56,gAAAAABoF5NHm5LZ2vY0GJhdB-f3_CzSZf4WAF8LOyzrgzl0yYAl8FbBCRM_fFSe-FzlwlbW3blCA3pEaj8DhvF2g3P1NNybAz0XO2I9tH8_GhxSK7WQJcQ=,gAAAAABoF5NHhnyNT_Z9OWv8PkdyiMmZ03aGHhL6RU052-ULi_vj91ksKUdmm7sIr_EsDwOrT1oWyJZNg0L5IfmyVx_VC4eSDw==
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,981559f507d2055d3f2ff381b07fab0a3af19f070280bb2faa716381c4b55c39,gAAAAABoF5NH-kmuTJ6MGgCzSWe02ZSCcU2Z4SghYegoKE9HzSHlCoL-o4z3khx_aWXS5wt0Cx9hhBLfkku45hU744i2mBh-1FLeiKOOExXMpEmzkDYSASQ=,gAAAAABoF5NHhyFRrbkp1RIkaSiie3cFxHmcd-cRMoM2AspQjGZsdNYLC9PUBe08rP4jvlxr-jr6qTK54U9ZW9UYbMVQr7tFew==
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409,9d1993a7420329974c5b60f45bcc22a92da4598d58acb160db849eda7abb194c,gAAAAABoF5NHMnzZbBF36h-87bEpLsL_RfF3Mg8W5COab5-cNSF42_63ky9wadHKjeEQqUHfrlP-T0hAh_dMWTS7OPVzRM0inaOvamjMD9i9yXivR-CGJh8=,gAAAAABoF5NHj5o-FF78VYkL2F2iCScIJTg2WeIAdT12KYjRoAr4qXvpwf7HSjXWBjIOsxk1qrPWtkKTfaxy9Rj508oJoKgg4A==
Acer,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414,1ab75c9a76df5af1a9800bc1c2394bff5334234916f1049bd6f4ad86830d3d51,gAAAAABoF5NH_Npur2NICJXb2QfFYZQ5K7IxdXQhSc1mPrPKWyNhlmY9-ATVVkrR-nDOdW7dNrrP1pocUoZz61mDJri3Du_cXDMxFqTS-ryMdrKVPIoimZI=,gAAAAABoF5NH-YheIU96AWQ784f6E7u7DWgRTqTEVxN4WYdXdgnQJy34vHJBd6Elw0hJmgltVlNznioA1hiJezyB0uCuIqiKrQ==
